Year,ID,Entry, Total , earmarked , other , non-EU , EU-28 , BE , BG , CZ , DK , DE , EE , IE , EL , ES , FR , HR , IT , CY , LV , LT , LU , HU , MT , NL , AT , PL , PT , RO , SI , SK , FI , SE , UK 
2014,1,SMART AND INCLUSIVE GROWTH,"67,682.9","1,420.1","1,691.2",864.8,"63,706.8","1,413.6","1,204.7","3,155.6",365.2,"4,666.4",469.6,259.2,"4,159.0","4,810.9","4,479.1",337.5,"4,720.1",170.3,806.7,"1,214.2",264.4,"4,686.7",211.3,780.0,483.5,"12,215.1","3,372.2","3,692.3",859.8,"1,120.9",389.0,652.7,"2,746.9"
2014,1.1,Competitiveness for growth and jobs,"13,331.3","1,217.3","1,616.0",863.9,"9,634.0","1,029.5",112.2,180.7,189.4,"1,128.4",43.7,118.7,167.1,"1,039.2","1,796.6",23.6,736.0,21.1,26.4,77.2,225.4,232.2,12.5,475.2,185.5,140.1,88.5,63.7,42.4,69.2,138.2,247.6,"1,023.8"
2014,1.1.1,Large infrastructure projects,"1,829.1",1.9,28.2,0.4,"1,798.7",4.5,0.0,72.2,9.7,78.3,0.0,0.0,0.0,429.1,936.2,0.0,73.1,0.0,0.0,0.0,146.9,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3
2014,1.1.11,Implementation and exploitation of European satellite navigation systems (EGNOS and GALILEO),"1,162.6",0.0,28.2,0.4,"1,134.1",1.4,0.0,72.2,0.0,78.0,0.0,0.0,0.0,7.5,719.7,0.0,70.9,0.0,0.0,0.0,146.9,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1
2014,1.1.12,International Thermonuclear Experimental Reactor (ITER),423.0,1.9,0.0,0.0,421.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1.1.13,European Earth Observation Programme (Copernicus),243.5,0.0,0.0,0.0,243.5,3.1,0.0,0.0,9.7,0.3,0.0,0.0,0.0,0.5,216.5,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2
2014,1.1.2,Nuclear decommissioning assistance programmes,164.6,0.0,0.0,0.0,164.6,0.0,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,0.0,0.0,0.0
2014,1.1.3,Common Strategic Framework (CSF) Research and Innovation,"7,643.2",904.1,"1,035.1",447.4,"5,256.7",670.2,7.2,46.0,126.2,844.1,9.7,77.4,102.1,417.2,584.2,8.1,459.0,11.9,3.9,4.8,28.0,193.2,3.0,368.3,119.2,34.1,55.0,16.9,17.4,7.4,78.8,167.0,796.5
2014,1.1.31,The Framework Programme for Research and Innovation (Horizon 2020),"7,414.8",838.5,"1,031.7",444.1,"5,100.5",665.5,7.0,44.7,125.7,773.5,9.7,77.3,101.6,415.2,570.2,8.1,456.4,11.9,3.8,4.7,28.0,192.8,3.0,365.1,118.9,33.7,54.7,16.5,17.1,7.2,75.5,164.4,748.4
2014,1.1.32,Euratom Research and Training Programme,228.4,65.6,3.4,3.3,156.1,4.6,0.2,1.2,0.6,70.6,0.0,0.1,0.5,1.9,14.0,0.0,2.6,0.0,0.1,0.1,0.1,0.4,0.0,3.2,0.3,0.4,0.3,0.4,0.2,0.3,3.3,2.6,48.1
2014,1.1.4,Programme for the Competitiveness of Enterprises and small and medium-sized enterprises (COSME),236.9,3.8,188.5,4.8,39.8,10.3,0.1,0.9,0.7,2.4,0.1,0.4,0.3,3.2,3.6,0.1,2.7,0.1,0.3,0.1,2.3,0.2,0.2,3.1,1.9,0.2,0.1,0.3,0.2,0.1,1.3,0.7,3.9
2014,1.1.5,"The Union Programme for Education, Training, Youth and Sport (Erasmus+)","1,509.4",112.7,0.4,91.8,"1,304.6",85.3,23.4,30.9,24.6,137.8,12.0,17.4,32.0,104.9,182.0,12.8,116.4,8.2,14.9,17.5,6.6,33.0,5.9,48.9,28.8,86.9,29.2,42.8,15.4,21.5,28.5,33.0,104.1
2014,1.1.6,European Union Programme for Employment and Social Innovation (EaSI),83.7,0.8,1.1,2.7,79.1,30.0,0.4,0.4,1.6,3.9,0.2,0.7,1.3,1.4,10.6,0.3,6.9,0.3,0.1,0.6,4.7,0.6,0.1,1.8,1.5,0.6,0.6,0.4,0.3,0.6,0.6,1.7,6.8
2014,1.1.7,"Action Programmes for customs, for taxation and for anti-fraud in the European Union (Customs 2020, Fiscalis 2020 and Anti-Fraud)",95.0,1.8,20.6,28.3,44.3,25.7,0.4,0.4,0.7,0.5,0.5,0.5,0.3,1.2,0.5,2.1,1.3,0.3,0.4,0.3,1.4,1.1,0.4,0.6,0.5,1.0,0.9,1.2,0.2,0.3,0.6,0.5,0.7
2014,1.1.8,Connecting Europe Facility (CEF),831.0,21.9,128.4,279.2,401.6,99.6,0.2,3.8,19.6,21.8,0.0,1.2,1.0,54.9,17.9,0.0,49.6,0.0,2.5,3.0,4.5,2.1,0.0,26.2,30.9,3.7,0.6,1.0,7.3,0.6,6.7,27.4,15.3
2014,1.1.81,Energy,11.4,1.1,0.0,0.0,10.3,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,5.2,0.0,0.0,0.0,0.1
2014,1.1.82,Transport,813.8,20.7,128.3,279.0,385.8,98.0,0.2,3.7,18.4,21.5,0.0,1.0,1.0,54.4,17.6,0.0,48.9,0.0,2.4,2.9,4.4,2.0,0.0,25.7,27.7,3.6,0.3,1.0,2.1,0.4,6.7,27.4,14.5
2014,1.1.83,Informations and Communications Technology (ICT),5.9,0.1,0.1,0.2,5.5,1.4,0.0,0.1,0.2,0.3,0.0,0.2,0.0,0.0,0.3,0.0,0.7,0.0,0.1,0.0,0.1,0.1,0.0,0.5,0.2,0.1,0.1,0.1,0.0,0.2,0.1,0.0,0.6
2014,1.1.9,Energy projects to aid economic recovery (EERP),239.1,62.4,39.8,0.0,137.0,0.0,0.0,0.0,0.3,5.9,20.0,0.0,0.0,5.7,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,0.0,11.4,0.0,0.0,0.0,2.3,20.0,15.0,18.1
2014,1.1.DAG,Decentralised agencies,249.3,6.7,121.6,0.0,121.0,6.6,0.0,25.3,0.0,8.6,0.0,20.4,25.6,14.1,3.8,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2014,1.1.OTH,Other actions and programmes,315.6,99.8,45.7,4.3,165.9,45.7,0.9,0.5,4.3,13.3,0.9,0.4,2.8,3.8,12.8,0.0,20.7,0.1,0.6,0.6,23.7,1.3,0.2,19.0,1.3,0.4,1.3,0.6,0.8,0.5,1.5,1.3,6.6
2014,1.1.PPA,Pilot projects and preparatory actions,18.4,0.0,0.8,0.7,17.0,4.8,0.1,0.0,0.2,2.9,0.0,0.0,0.7,1.5,1.1,0.0,2.1,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.3,0.2,0.1,0.1,0.2,0.0,0.0,0.7,0.9
2014,1.1.SPEC,Actions financed under the prerogatives of the Commission and specific competences conferred to the Commission,115.9,1.5,6.0,4.5,103.9,46.8,0.5,0.4,1.5,8.8,0.3,0.3,0.9,2.3,10.0,0.1,4.2,0.1,0.1,0.8,7.3,0.5,0.2,4.2,1.0,1.6,0.6,0.3,0.7,0.2,0.3,0.2,9.7
2014,1.2,"Economic, social and territorial cohesion","54,351.6",202.8,75.2,0.8,"54,072.8",384.1,"1,092.5","2,975.0",175.8,"3,538.0",426.0,140.5,"3,991.8","3,771.7","2,682.5",313.9,"3,984.1",149.2,780.2,"1,137.0",39.0,"4,454.5",198.8,304.8,298.0,"12,074.9","3,283.7","3,628.6",817.3,"1,051.7",250.8,405.1,"1,723.0"
2014,1.2.1,Investment for growth and jobs,"52,128.7",196.4,0.0,0.5,"51,931.8",299.7,"1,071.1","2,956.2",138.4,"3,350.0",415.9,124.2,"3,892.2","3,540.1","2,321.5",309.1,"3,776.0",148.7,766.5,"1,118.7",8.7,"4,287.1",198.4,288.3,141.5,"11,959.8","3,236.8","3,536.8",783.8,"1,026.3",227.4,358.7,"1,650.0"
2014,  1.2.11,Less developed regions (Regional convergence),"30,747.4",156.8,0.0,0.0,"30,590.6",115.3,720.6,"2,000.5",0.0,"2,004.0",254.9,45.8,"3,170.5","1,967.2",609.9,198.9,"2,855.1",0.0,417.3,657.6,0.0,"2,136.8",131.0,0.0,39.3,"7,377.3","2,420.8","1,982.2",436.7,504.4,0.0,0.0,544.5
2014,  1.2.12,Transition regions,167.3,3.5,0.0,0.0,163.7,9.8,0.0,0.0,0.8,75.4,0.0,0.0,16.5,10.6,33.9,0.0,4.4,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.7,0.0,1.4,0.0,0.0,0.0,0.0,0.0,6.6
2014,  1.2.13,More developed regions (Competitiveness),"7,751.0",10.6,0.0,0.0,"7,740.4",171.9,0.0,53.8,137.5,"1,270.5",0.0,78.3,63.6,882.3,"1,675.7",0.0,916.3,90.1,0.0,0.0,8.4,204.7,0.0,288.2,101.5,8.7,90.9,0.0,3.2,14.7,224.5,356.8,"1,098.6"
2014,  1.2.14,Outermost and sparsely populated regions,6.6,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.9,0.0
2014,  1.2.15,Cohesion fund (including contribution to the Connecting Europe Facility CEF),"13,456.4",25.5,0.0,0.5,"13,430.4",2.6,350.5,901.8,0.1,0.1,161.0,0.0,641.6,680.0,0.2,110.2,0.3,58.6,349.2,461.1,0.3,"1,945.5",63.7,0.1,0.0,"4,573.8",723.7,"1,554.6",343.9,507.2,0.0,0.0,0.3
2014,1.2.2,European territorial cooperation,"1,688.6",5.8,68.0,0.0,"1,614.8",43.4,9.2,16.2,36.6,178.5,9.2,13.8,65.8,154.8,297.2,0.0,127.3,0.0,8.9,9.5,6.6,157.0,0.0,13.8,151.9,60.3,24.7,43.2,31.2,18.4,20.5,45.7,71.1
2014,1.2.3,Technical assistance and innovative actions,84.4,0.6,7.2,0.3,76.4,31.2,0.0,0.1,0.3,8.3,0.0,0.0,0.3,0.3,5.3,0.0,1.4,0.1,0.0,0.1,23.2,0.1,0.0,2.2,0.5,0.2,0.3,0.1,0.0,0.1,0.4,0.3,1.4
2014,1.2.31,Technical assistance,84.4,0.6,7.2,0.3,76.4,31.2,0.0,0.1,0.3,8.3,0.0,0.0,0.3,0.3,5.3,0.0,1.4,0.1,0.0,0.1,23.2,0.1,0.0,2.2,0.5,0.2,0.3,0.1,0.0,0.1,0.4,0.3,1.4
2014,1.2.32,Innovative actions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1.2.4,Fund for European Aid to the Most Deprived,409.5,0.0,0.0,0.0,409.5,8.1,11.5,2.6,0.4,0.0,0.9,2.5,30.9,62.0,54.9,4.0,73.8,0.4,4.5,8.5,0.4,10.3,0.4,0.4,2.0,52.1,19.5,48.5,2.3,6.1,2.5,0.0,0.0
2014,1.2.5,Youth Employment Initiative (specific top-up allocation),34.3,0.0,0.0,0.0,34.3,0.4,0.6,0.0,0.0,0.0,0.0,0.0,2.6,14.2,3.1,0.7,5.7,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,2.5,2.4,0.0,0.1,0.7,0.0,0.4,0.5
